perf_id,position,footnote
1592602,0,First quarter peal - 6
1592602,1,Rung as a 90th birthday compliment to Alan Beaton
1592319,0,"In thanksgiving for the life of Joseph Lassow (1935-2023), father of the treble ringer."
1592341,0,Jointly conducted by all the band.
1592341,1,"92nd Birthday compliment to Lilian Johns of Coity, near Bridgend."
1592341,2,"Remembering the North Sea flood, that occurred on this night 70 years ago."
1592341,3,"Also marking the end of the production of Boeing 747 today, after 54 years."
1609979,0,"1st Surprise Major as conductor, well done Clare"
1952312,0,"Celebrating the life of Greater, the world’s oldest flamingo, who died on this day in 2014 aged at least 83"
1592321,0,The first full plain course of any surprise major method at a Brewood practice night that anyone can remember (including ringers who have been members of the band  for well over 60 years !)
1592312,0,Birthday compliment to Dale Winter.
1592333,0,Circled tower: 3.
1592333,1,Rung on the last day of January to wish Vicky Le Fèvre a long and happy retirement.
1592284,0,"250th peal together 4,5"
1592595,0,Tolled immediately before the funeral service for Rosalind (Ros) Farmer (5th March 1944 - 21st December 2022). Long time member and bell ringer at this church. May she rest in peace.
1592594,0,Rung following the funeral service for Rosalind (Ros) Farmer (5th March 1944 - 21st December 2022). Long time member and bell ringer at this church. May she rest in peace.
1592594,1,"David Macey, John Bonney, Jim and Jan Odell would like to be associated with this performance."
1592593,0,One of various pieces of ringing before the funeral service for Rosalind (Ros) Farmer (5th March 1944 - 21st December 2022). Long time member and bell ringer at this church. May she rest in peace.
1592264,0,"On the 70th anniversary of the North Sea flooding, 31st January 1953. For a service remembering those who lost their lives including 18 from this parish."
1592340,0,70th Birthday complement to Kevin M Price.
1592340,1,4350th peal -- 5
1592322,0,With the band’s very best wishes to Jan on the occasion of her birthday
1594347,0,"In memory of Ronald K Russ, founder member of the Society of Raving Ringers."
1594347,1,"""Make the round of Zion in procession, count the number of her towers"" - Psalm 48 vs 12"
1594347,2,First in method away from trebles: 7–8.
1592273,0,First in method: 1-2 and as conductor.
1592314,0,With the band's best wishes to Laura Childs on her latest acquisition.
1592338,0,"First Quarter in method for 2, 3, 4, for The Bellerophons and on Ringing Room."
1592338,1,Rung by The Bellerophons for National Backwards Day and the method was chosen to mark this.
1592338,2,275th together - 1 & 4.
1592291,0,First spliced as C.
1592291,1,First spliced surprise: 5-6.
1592378,0,"Rung with the best wishes of the ""Tuesday nighters"" to Revd Sue Giles, ""Ringing vicar"" of the Anglesey Benefice, on her retirement, with grateful thanks for her help and support over the years of her Ministry."
1592313,0,"Rung as a farewell to the Anglesey Benefice's first ""Ringing Vicar"", Rev Sue Giles, with grateful thanks for her help and support over the years."
1592258,0,Most Spliced Surprise Minor - 3
1592258,1,975th Quarter Peal as conductor.
1592289,0,First Grandsire as conductor on handbells.
1606150,0,First in method: 3
1843930,0,First minor inside - 2
1592310,0,"First of Spliced - 3, and as Conductor."
1676763,0,250th peal together: 6 and 8.
1592343,0,Rung on the eve of the funeral of Mark Spurgeon in Bedford. Mark was a member of this tower from 2009 to 2013 prior to moving to Bedford. 50th quarter peal: 5.  First minor inside: 4.
1592137,0,"Rung to welcome Leila Amelie Burton, daughter for Lucy and Phil Burton born on the 26th January."
1592138,0,"First on 12: 6, 7."
1592138,1,"100th peal together: 5, 10."
1592081,0,First as conductor in hand
1592081,1,In hope this footnote lives a long and happy life
1592126,0,"In loving memory of Jean Enzor, 22.4.26 to 31.12.22. Rung after a service to celebrate her life, by two of her sons, daughter in law, two grandchildren and grandson in law."
1592076,0,1st Treble Bob 1.
1592075,0,2000th quarter 6.  400th quarter on the bells.
1592220,0,Belated engagement compliment to Nicola Christian and Richard Gouland.
