perf_id,position,footnote
367827,0,Rung to commemorate 50th anniversary of the death of Winston Churchill.
1069391,0,First in method - 2 & 5
1081284,0,1st of Stedman - 6.
1081284,1,A Central Bucks Branch training quarter
367774,0,25th birthday compliments to the treble ringer.
367774,1,First peal (but not longest continous time period spent ringing!) - 3.
1153004,0,Birthday compliments to Sally Brown. Rung on the day of the BUSCR 60th Anniversary Dinner.
1153004,1,First QP on the bells and at this venue.
1631005,0,"Rung to mark the January birthdays of Shirley, Sarah and Gillian, as well as the first birthday of Ewan, 6th February."
410091,0,Believed to be the first extents in the following methods:
410091,1,Griffin Bob: 3.1.5.3.5.3.5.1.3 le 145 (2354)
410091,2,Wyvern Bob: 3.1.5.123.5.123.5.1.3 le 145 (2354)
410091,3,Phoenix Bob: 3.1.125.3.5.3.125.1.3 le 145 (2354)
410091,4,Hippogryph Bob: 3.1.125.123.5.123.125.1.3 le 145 (2354)
410091,5,Rung as a birthday compliment to Joanne Waller.
1073176,0,Rung for Association Quarter Peal Week
1115793,0,Rung for the 50th Birthday of Jane Hickman 1700th Q :-5.
367799,0,In memory of Muriel Reay and for the Cathedral's 300th anniversary.
1052356,0,"To mark the 50th anniversary of the peal rung immediately following the interment of Sir Winston Churchill. This peal was rung by officers holding positions corresponding, as closely as possible, with those who took part in the 1965 peal, namely: Master, Deputy Master, Honorary Secretary, Honorary Treasurer of the Guild with the Ringing Master and Secretary of the Witney and Woodstock Branch."
1052356,1,"1, 3: First Peal of Minor"
1100993,0,"First on 12; 2,5"
367787,0,First in method: 2
367787,1,Wishing Phill Butler a speedy recovery.
367885,0,"Rung half muffled immediately prior to the funeral of local resident and member of this Church, John Desmond Mattick"
367763,0,First peal as conductor.
367763,1,First peal on 12 bells: 12
367763,2,100th peal: 8
367802,0,Wishing a speedy recovery to Michael Purday who was originally going to ring in this peal.
367802,1,"A 70th Birthday Compliment, this day, to Nigel G Davis."
412838,0,"First on 12: 6,7."
367761,0,First peal without an appendix (4)
1143322,0,"First in method - 2, 4 & 5"
443310,0,"First Quarter 6. For Martin Dier, leaving St. Fin Barre's after two and a half years ringing, and for Jean Hamilton, Ecologist and Badger Tracker."
1095085,0,"Rung half-muffled in memory of William Ireland of Cropthorne. A ringer at this Church prior to enlisting into the Worcestershire Regiment. He was killed in France on 31st January 1915, aged 18."
1089188,0,200th peal on 8: 7
1089188,1,"Specially arranged as an 8th birthday compliment to Mason Crane, son of 7. Also a 25th birthday compliment to Robert Beavis."
1081285,0,"Birthday compliment to Jessica Pugh, daughter to Mark and Rhiannon who met in Dilwyn tower."
1092382,0,"Rung in fondest remembrance of Stella Shell , a wonderful lady ."
367765,0,First Peal: 3 (14)
367765,1,First as conductor
367780,0,1st of treble dodging Major: 2.
1249195,0,1st inside: 2
1249195,1,A Birmingham School of Bell Ringing performance
410116,0,21st birthday compliment to the conductor
410116,1,Circled the tower to peals - 2
367810,0,First peal for treble and tenor.
367810,1,First of Doubles 4.
367810,2,First ever peal in the tower to mark the 10th Anniversary of the rehanging and augmentation of the bells.
368653,0,"Rung before a concert in this church given by Linden Baroque in memory of one of their founder members, Gertrude Evans."
368653,1,200th quarter; 6.
1100155,0,First peal 1 and 4.
1100155,1,First peal on these bells.
1100155,2,Rung as a birthday compliment to Pam Bedford.
367847,0,First as cover
1055151,0,"Rung with 6,7 & 8 covering, for Association Quarter Peal Week."
1055151,1,Remembering Laurie's mother Vera Cooksey who died on 15 April 2014.
1124280,0,1st away from cover - 1.
1150373,0,First peal: 2. Circled the tower: 1 & 3.
1150373,1,Rung as a birthday compliment to Doug Kempton.
1146838,0,First QP -6 (a member of the local band).
1143787,0,First QP -6 (member of the local band).
1143787,1,A thanksgiving for the life of Stella Shell.
367800,0,Birthday compliment to the ringer of the tenor.
434931,0,"In Memory of Sir Jack Hayward OBE, whose gift of £150,000 in 1969 enabled The National Trust to buy Lundy Island."
368508,0,1st quarter peal - 6
368508,1,Circled Tower - 2 & 5
368629,0,First peal to be rung on the bells.
368629,1,Installed during June 2014 as the church centenary project and dedicated on 13th July 2014. The 5th being the 'BATTY Bell'.
368629,2,"18th Birthday compliment, today, to Rachel Chung."
367755,0,First of Surprise on the bells
1067510,0,1st of treble bob:1
1067510,1,"A get well compliment to Sebastian Bradley, who was to have rung in this quarter."
367876,0,"Wedding anniversary compliment to Trish and Eric Hitchins, married 34 years ago today. On Mancroft Guild Dinner Day."
410089,0,First of Spliced and first in methods: 4
367862,0,100th different twelve for a peal: 11
1120591,0,Wishing Ken Jones and Jack Aylward a happy birthday.
1120591,1,For SCACR Quarter Peal week.
368167,0,First Peal as Conductor.
368167,1,25th Peal for the Association - 7.
368167,2,50th Peal together -1 & 6.
368167,3,70th Birthday Compliment to Norman P J Cossey.
1941337,0,1 First treble bob
1941337,1,For SCACR quarter peal week
367807,0,1st Surprise Major - 2
1051067,0,First of Stedman - 1.
1051067,1,Ring on Branch AGM day.
1051067,2,Don't these bells go well to Stedman!
367795,0,"Rung to mark the 110th anniversary of the first peal rung on these bells, which was called by George A Andrews Great Grandfather of the conductor and Great Great Grandfather of 5."
1101793,0,Rung by friends in memory of Philip M Saunders
1101793,1,Who died on 2nd January 2015
1976106,0,"Rung in memory of Philip Saunders, died on the 2nd. of January."
415766,0,In celebration of Father Kevin's 15 years as Rector of this parish.
1105788,0,Rung to commemorate 50 years since the funeral of Sir Winston Spencer Churchill.
1104300,0,First peal in the method - 3.
1104300,1,A birthday treat for Nick.
1447437,0,A birthday compliment to Jenny van der Merwe.
1147863,0,"1st in method for 2,3,5 and 6."
1076921,0,HBQP No 16
1062743,0,"Remembering Anthony J. Brazier, former Guild President, who died 1/2/96."
1062743,1,A Four Shires S@S (Saturday at Six) quarter peal.
1893391,0,Rung on tower dinner day
367732,0,For Morning Communion; also to mark the 50th anniversary of the death of Sir Winston Churchill.
367655,0,Rung in memory of Jack Tually.
367655,1,First major in hand 7-8
1080448,0,Rung to celebrate the wedding anniversary of the ringer of the 3rd.
1090213,0,First blows of Bristol Surprise Royal - 5.
