perf_id,position,footnote
1488112,0,First in method: 3 and 9.
1488110,0,"1st Minor inside, 2. First QP for 20+ years, 1."
1488026,0,First in hand on eight 5/6
1488131,0,"Rung by a band of Past Masters of the Society in affectionate memory of Andrew N Stubbs (Master, 1968-69 and Hon Treasurer, 1981-2006), died 2 April 2020 aged 80 years, and Paul A Williams (Master, 1985-86), died 13 December 2020 aged 68 years."
1488037,0,1st in m in hand: 5-6
1488054,0,A Shropshire Oldies Day quarter peal
1488052,0,A Shropshire Oldies Day quarter peal
1487960,0,Rung to test the livestreaming software for quarter peals.
1488014,0,"Busier composition, getting away from whw, followed by tea and chocolate biscuits!"
1488070,0,First St. Clement's on handbells: 1-2.
1488070,1,A Hull Handbells Project Quarter Peal.
1488059,0,Rung on real handbells 9-10 with Abel using recordings of our other handbells.
1487953,0,Completes the pairs in the method: 1-2.
1487916,0,Rung by The Bellerophons for Bubble Wrap Appreciation Day.
1487916,1,130th together: 2 & 4
1487916,2,First in method for all.
1488319,0,"50th for the Five O'Clock Club, 1-2"
1488127,0,To celebrate the birthdays of
1488127,1,"Miss Isabella Amelia Farrow, 6 on 30/1/22"
1488127,2,"Miss Jennifer Mary Nye, 1 on 30/1/22"
1488127,3,"Master Alexander Wiltshire, 2 on 1/2/22"
1488368,0,"Believed to be first blows in the Method, pn 3456.1456.1256.36.x.56,12. If this is correct the band wish to name it Upper Maes-coed Bob Minor."
1488368,1,"Upper Maes-coed is  a district in the Golden Valley, Herefordshire."
1488368,2,"2250th quarter 6. With the bands best wishes to Betty Cole of Maismore, Gloucester on the occasion of her birthday."
1488035,0,"250th together 1,3 & 6. 50th together 1,2,3,5 & 6."
1488312,0,In memory of Barry E Saunders (Basher) rung by members of The South Northamptonshire Society following his funeral earlier in the day at Helmdon.
1488129,0,On practice night.
1487725,0,In memory of Terry Greenacre from Clenchwarton who passed away on new years day. Terry rang with Jeremy and Peter in their early days and also called the conductors first quarter peal.
1487601,0,"Rung to celebrate the 150th anniversary of the first ringing on these bells, performed on Christmas Day 1871."
1819015,0,For Morning Service
1493046,0,Rung to celebrate the Revd Dr Peter Newing's 75th anniversary of membership of the KCACR
1493046,1,Also 65th birthday compliment to Revd David Russell
1493046,2,(Rung close to the 36th anniversary of the Challenger Space Shuttle disaster. First known quarter of the variation.)
1487906,0,"Dedicated to the memory of Raymond J E Thain, one time Tower Captain of Woodchester and of Stroud and who greatly influenced the conductor of this quarter when he was a lad in the early 1980's."
1487906,1,1st inside - 2.
1487872,0,First ringing in the flat.
1487875,0,Rung for Evensong
1487784,0,"With the band's compliments to Sally A Brown, celebrating a significant birthday today."
1487772,0,Rung for Candlemas Service
1487673,0,"Longest Call Change Peal for all except 4 & 5. Rung to celebrate the recent birthday of Doug Petipher, former Tower Captain of this tower."
1487778,0,Longest length - 1
1487778,1,First in method - 2
1487778,2,"First in method in tower - 3, 4, 6"
1487778,3,(Probably) first blows in method - 5
1487778,4,Commemorating the 150th anniversary of the oldest but not the best university society. (Some of the band would like it noted they were not told the reason for the quarter when they agreed to ring.)
1487832,0,"First Major: 2, 6."
1487832,1,First Major in tower as conductor.
1487832,2,For University Sermon.
1487832,3,"In memory of Bruce Butler, longtime president of the NAG."
1566292,0,1st of Yorkshire ‘inside’ for Helen.
1488116,0,"Rung for sung Eucharist on Candlemas. Also to mark Rev'd Peter Newing, former ringer at this Church, on his 75th anniversary of joining the KCACR."
1487922,0,For Evensong
1487886,0,1-2 First of major on handbells.
1487844,0,Rung to celebrate the life of Jeffrey Knipe.
1487868,0,"Rung after meeting short for a peal of Maximus, with best wishes to the incapacitated."
1487731,0,Entertaining the visitors to Colesbourne Park.
1487908,0,"For our Candlemas service. As we turn our eyes away from Christmas and use the light to point to hope for the future we dedicate this quarter to all who helped carry us through the difficult days of this pandemic, and have helped to give us the opportunity of hope."
1487766,0,To entertain the visitors to Croome Park and to offer Birthday Wishes to 3 & 4.
1487899,0,"First in the method - 1, 2, 6 and 7"
1487644,0,"In Thanksgiving for the life of Derek Vowles, Tower Captain of Weston-in-Gordano"
1487632,0,Belated 89th Birthday Compliment to Roland Watkins of Kentchurch.
1487632,1,Rung for 5th Sunday group communion service
1487909,0,"First Royal: 4, 7 and on the bells. Rung immediately following the Eucharistic Service of Celebration and Blessing of the restoration and augmentation of the bells by the Bishop of Dover, Rt Revd Rose Hudson-Wilkin."
1487931,0,Rung for the evening Informal Service on 'Whole Heart Sunday'.
1487873,0,For Evensong
1487873,1,First in the method - 2
1487830,0,Congratulations to Philip Alpin on securing a place at Cambridge
1487656,0,Rung for morning service
1487935,0,"Rung prior to Evening Prayer in thanksgiving for the ministry of Alison, Bishop of Hull, and Bishop Frank White, with best wishes for their forthcoming retirement."
1487816,0,Rung for Candlemas and as a birthday compliment to Ellen Richards on her 4th birthday.
1487905,0,For Memorial Evensong.
1487905,1,First Minor - 2.
1487905,2,First Quarter for 17 years - 1.
1487912,0,For Evensong
1487912,1,Excellent ringing
1487835,0,In memory of Bruce Butler.
1488122,0,For the evening service.
1487923,0,"2,000th quarter peal at Leckhampton since the major rehanging in 1972 (new frame, fittings and 5 new/recast bells)."
1487923,1,"The first quarter was rung on 20th Sept 1972 - Stedman Triples, with Bernard, Hilda and Malcolm in the band and ringing the same bells. The rest of the band are current Leckhampton ringers."
1487879,0,Rung prior to evensong time. First quarter for tenor and a belated birthday wishes to Ann Brandish.
1487879,1,Believed to be the first extent rung in the variation of; (1 f/h) Nick's got a screw loose.
1487859,0,1st on ten - 1 and 4
1487859,1,Rung before the Candlemas Carol Service
1487599,0,"Congratulations to Dylan Alcott, wheelchair tennis champion, on becoming Australian of the Year for 2022."
1487599,1,"Also to those Australian tennis players especially Ash Barty, who have been successful in the Australian Open Tennis Championships."
1487776,0,For Evensong.
1487757,0,"Rung for Candlemas, which marks the anniversary of the dedication of these bells in 1979."
1487620,0,For benefice service and the planting of the Jubilee Tree in the churchyard
1488071,0,"For “Sequence of Music and Readings for Candlemas”. 1000 QP - 5 (of which 687 with 3, 545 with 4, 189 with 1, and 295 in this tower)."
1487686,0,Rung for evensong
1487686,1,"1st of Stedman Caters, 4"
1488106,0,First in method for the band.
1488106,1,"Get well wishes from the band to Jane McKee, who was unable to join us due to Covid."
1487907,0,First Original in hand: 7-8
1487907,1,Rung by the Bellerophons for National Croissant Day.
1487918,0,"In memoriam for Bruce Butler, President of the North American Guild, ART tutor, leader of innumerable classes, ringing sessions, and international bell tours.  Bruce was well known as a hard worker in the Central Council and friend to many for a very long time."
1487918,1,Rung half muffled.
1487765,0,Rung for the afternoon service taken by the Bishop of Lewes (Bishop Will).
1487919,0,Prior to Evensong
1487919,1,First in method - 4 & 5
1488123,0,"To remember Bruce Butler, long time president of the NAG, with thanks for his endless enthusiasm for ringing and his early support of installing bells in Seattle."
1488123,1,"Half-muffled touches of plain bob doubles, concluded with 72 tolls"
1487921,0,For evensong
1491749,0,A 60th Birthday Compliment to Lesley (27th January).
1487819,0,Rung before Candlemas Choral Evensong on the light eight
1487764,0,"A 100th birthday compliment for Mrs Winfred Phillip, mother of #1"
1487762,0,"Following Evensong for Candlemas, and for the Southwark Cathedral Society Festival of Ringing."
1488113,0,First of 23-spliced - 4.
1487848,0,Rung for Candlemas
1487848,1,"First in method: 2, 3"
1487848,2,First in method as conductor
1487769,0,1st away from cover - 1. 1st of cover - 6.
1487769,1,"Rung in memory of Jeffrey Knipe who died this morning, and who was initially the project manager for the replacement of these bells."
1487789,0,70th birthday compliment to Sue Bassett
1487822,0,Rung for Evensong.
1530374,0,Rung prior evensong and dedicated to the life of Jeffery Knipe.
1487815,0,Rung for Choral Evensong. First on twelve inside - 2.
1487785,0,"Rung to mark the 40th anniversary of the dedication of the re-tuned four bells and the four new trebles; also for the 40th anniversary of the first quarter peal on the augmented bells, the ringers of six and seven ringing the same bells in the first quarter to the same method."
1487785,1,"Also remembering Michael and Kathleen Brown and Charlie Parker who rang in the first quarter; and in memory of Beverley Winter, President of the Coventry Diocesan Guild 1991-1997 and Beryl Jenson, lifelong member of this church."
1487623,0,Rung before the Benefice Sunday Eucharist Service.
1647115,0,Rung in memory of Jeffrey Knipe who passed away earlier today.
1647115,1,400th peal together - 1 & 5.
1526949,0,"Rung in affectionate memory of Tracey Goldsmith, Daughter of Jan and Local ringer."
1487587,0,Rung to celebrate the success of our local cluster of towers and the friendship of local ringers. First in variation Jon and Lizzie.
1487595,0,Rung for Fun along side with Oliver W
1488664,0,"To congratulate Neil Semley and his daughter, Ruth Graham as recipients of the David Nichols Memorial Award for 2022."
1488664,1,"30th Quarter on the bells, (28 as a ring of 3 and 2 as a ring of 5): 5."
1488664,2,Circled the tower to Qtrs: 3 & 5.
1487655,0,To mark - very belatedly - the 50th anniversary of the first performance:   https://bb.ringingworld.co.uk/view.php?id=1161392
1487581,0,"Celebrating this year the 50th anniversary of election to the Society of the ringers of 1, 2, 4, 5."
1487582,0,First quarter inside: 2
1487582,1,Fifth quarter: 2
1487582,2,Fiftieth quarter: 6
1487582,3,Good luck to Tom Sutton on his penultimate training module in Antwerp for piloting commercial aeroplanes.
1487580,0,First Grandsire Triples as conductor.
1487448,0,200th peal on the bells.
1487536,0,"Arranged to celebrate the 50th wedding anniversary of Ian and Sue Cameron-Cross, who were renewing their vows at this church."
1487536,1,1st triples on an inside bell:3; 1st on 8 bells: 8.
1487431,0,With the band’s best wishes to Andrew and Alan for their forthcoming 60th birthdays
1487537,0,First as conductor on 8
1487584,0,"For the induction of the Revd Roni Goodman as Rector of the new benefice of Campton, Meppershall and Shefford, which takes place on Sunday 30th January"
1487584,1,Henry's stretch 2 of 3
1487603,0,Belated birthday wishes to Diana and get well wishes to Jane McKee.
1487436,0,Rung to celebrate the birthday of Luke Bradley on 28th Jan.
1487557,0,"By invitation of St Mary's and All Saints' to mark the collation and installation of Fr. Patrick Coleman, vicar of this church, as honorary and lay canon of Derby Cathedral."
1487557,1,Circled the tower twice: 10.
1487432,0,1300th peal - 10.
1487421,0,"Rung open in celebration of the life of Rev Brian Gadd, a ringer at this tower since 1958."
