perf_id,position,footnote
1323927,0,"First of London Major 4,5"
1323927,1,40th Birthday compliment to Natalie Boylan
1323914,0,First spliced: 5.   Wishing Jeremy Cheesman a speedy recovery.
1323910,0,First peal in the method
1323910,1,Goshawk Surprise Major
1323910,2,k 34-58.14-58-38.14-14.58-56-18
1323993,0,Rung on the evening the United Kingdom left the European Union
1323908,0,Rung to commemorate the 75th anniversary of the liberation of Auschwitz Concentration Camp. Which was Liberated on the 27th January 1945
1324211,0,"A 70th birthday compliment, tomorrow, to David Carruthers, brother of Maureen Hanney."
1323743,0,"Celebrating the 100th birthday today of John Partington, past tower captain at St Leonard's, and long time resident in Clent. Rung by members of the northern branch of the W&DCRA. Tony Palmer wishes to be associated with this quarter."
1323921,0,Rung to celebrate Rosemary Goldthorpe's 18th birthday.
1325992,0,With gratitude to the Reverend Canon David Tyler for 13 years' service as Rector to the benefice of Hanborough and Freeland as he leaves to become Associate Archdeacon of Dorchester.
1325992,1,1st in method: 2.
1323897,0,First in method 4 and 7
1323850,0,"Ringing to celebrate installing the new ropes, provided by Avon Ropes Ltd."
1323850,1,Naoko Nakatani and Janet Caruso also joined for some general ringing.
1323850,2,Definitely NOT rung for Brexit.
1323875,0,Isla's 8th Birthday treat for tomorrow. An appropriate length of Bastow was also rung by the same band.
1323998,0,An 88th Birthday Compliment to John B. Bennett ringer of the 2nd.
1323928,0,1st in method : 4.
1323911,0,"This performance did not comply with the norm ""The Performance was a True Touch""."
1323963,0,"Rung half-muffled as a farewell to Jean Rouse, Mother of Sue, Grandmother of Diana, whose funeral was today."
1323846,0,Rung to welcome The Revd. Stephen Tudway as Curate-in-Charge at the Benefice of Broughton & Duddon and the Benefice of Kirkby Ireleth.
1323846,1,First peal in the method on the bells.
1324691,0,First QP in method: 5
1324691,1,This sponsored quarter peal was rung to help Elise Crawford (15) with fundraising towards her expedition to Borneo to help with work on a conservation project.
1324691,2,"The project will help to transform the community and will help them to overcome the significant issues they face, including access to clean water, education, housing and threats to marine wildlife."
1324691,3,Elise would like to thank Claire (Tower Captain) and all of the team for supporting her throughout her ringing practices and particularly for supporting her in ringing this her second quarter peal on All Saints Bells.
1323869,0,"Remembering Ronnie Lake, one of life's gentle souls, whose birthday would have been today."
1323819,0,"Rung in thanksgiving for the life of Michael John Allen following his funeral service in this church today, Micheal lead the project to restore these bells in 2002."
1323692,0,First quarter peal-6. Rung to welcome in the new school year
1323912,0,"Rung in memory of Frederick (Fred) S Slatford, Vice President of SDGR and former tower captain, and Laurence E Hitchins, both of whom learnt to ring at North Bradley in 1942."
1324231,0,Rung in celebration of the life of Liz Hull.
1323902,0,With best wishes from the band to Norman P.J. Cossey on the eve of his 75th birthday. Norman was tower captain at this church for forty years.
1325216,0,Rung by all resident members of the Oxford University Society of Change Ringers on the eve of their 148th annual dinner.
1323854,0,First entire quarter of Little Bob Royal: 9-10.
1323899,0,First Surprise Major on handbells: 1-2.
1323898,0,"In memory of Stewart Smith, a former ringer at Rugby Church and whose funeral was today."
1324352,0,"The oldest band to ring a peal of Bristol Maximus.  All the band were over 75, with an average age of 77 years 8 months.  Maurice Edwards wishes to be associated with this peal."
1324774,0,First as conductor 3
1324774,1,Rung on the Simulator.
1324774,2,Rung by members of the Society to celebrate Cyril Toyne's 75th Anniversary as a Doncaster & District Society Member
1323929,0,First of minor 1.
1323929,1,Rung on the simulator.
1323871,0,1st in method 7. 500th together 1 & 5
1323871,1,"100th together 1,5,6 & 8"
1323870,0,1st in method for all.
1323936,0,Rung from 10.45pm to mark the UK’s departure from the European Union. Hazel Hicks wishes to be associated with this performance.
1323844,0,A Cream Tea Quarter
1323467,0,100th peal of Double Norwich Court Bob Major: 3-4.
1323624,0,1st Quarter at first attempt - 1 (just 13) Great nephew of ringer of 3.
1904755,0,90th birthday compliments to Peter Hutchinson and Derek Sterling.
1323476,0,A Loddon Hub quarter.
1323713,0,Remembering Doreen Cox
1323566,0,"A 45th birthday compliment today to Philip, son of ringer of 6."
1323609,0,To commemorate the 75th anniversary of the liberation of Auschwitz
1323582,0,Wedding compliment to Jenny and Dominic prior to their wedding on Saturday 1st February.
1323582,1,First inside - 2.
1323502,0,First peal of Seven Surprise Minor on the bells.
1323694,0,"Rung by members of the Ladies’ Guild, Eastern District, and friend."
1323693,0,"Rung by members of the Ladies’ Guild, Eastern District, and friend."
1326844,0,"Rung as a tribute to Mrs Helena McGrath, mother of Stephen McGrath, for her 90th Birthday."
1326844,1,1. First Quarter Peal
1326844,2,4. First in Method & Inside
1323607,0,First Quarter Peal Inside - 2.
1323608,0,"Remembering Liz Hull, mother of the composer"
1323543,0,1st S Royal : 5
1323542,0,Wishing both remain and leave sufferers of BDS a swift recovery.
1323542,1,First Peal in the Method
1323542,2,Brexit Derangement Syndrome Delight Major
1323542,3,"Place notation-38-14-56-36-34-18.56-56.78,12"
1323542,4,Leadhead d 18674523
1323542,5,FCH Groups BDa
1323623,0,First quarter (aged 11) - 1  The first ever quarter by a Kildwick MiniRinger
1460795,0,First quarter - 6
1460795,1,First of these variations - 3
1323615,0,First minor - 1
1323615,1,Intended as a minor practice but we just carried on!
1323602,0,Most Methods on an inside bell 5.
1323619,0,For the 125th Anniversary of the founding of The National Trust and the 40th anniversary of the acquisition of Canons Ashby House by the Trust. The band included two volunteers at Canons Ashby and four local NT members. The House lies about a mile from this church
1323629,0,"To celebrate the life of Mary's dear friend, Cynthia Wimpenny, born in Yorkshire in 1921, who died in Sussex on 24th January, 2020."
1323630,0,"Rung by the local band on the front five with the bells half muffled to mark the anniversary of the death of The Right Honourable Frederick John Robinson, first Earl of Ripon, who died on 28th January 1859."
1323630,1,"Lord Ripon lived at Nocton Hall and owned the Nocton Estate. All Saints Church was built as a memorial to Lord Ripon and the peal of six bells were given by his wife Lady Sarah Albinia Louisa, Countess of Ripon in 1865 in memory of him."
1323630,2,"He was a former Chancellor of the Exchequer as well as a former Prime Minster, and is buried in the family vault here under All Saints."
1323630,3,Following the quarter a 120 of All Saints Place Doubles was rung on the back five bells.
1323630,4,(Rung also for the Lincoln Diocesan Guild)
1323722,0,"Celebrating Neil Peart's life and legacy, since this is Harry's 2112th tower grab, with some un-Rushed heavy metal rhythm of our own."
1323722,1,Umpire: Darcy Wateridge
1323722,2,750th QP: 3.
1323628,0,Rung on the simulator fast speed started at 10pm....something todo!
1324623,0,Rung to celebrate the life of Brian C. Johnson who died 7th January 2020
1323571,0,200th Quarter: 5
1323606,0,First of Orpheus for all except conductor. Rung on practice night.
1323726,0,Birthday compliments to Sue Haines.
1323726,1,50th peal together 3 & 4.
1323876,0,"Rung by Essex members of the Ladies Guild (Eastern District) A birthday compliment to Emily, daughter of 5"
1323613,0,Most Methods; 3
1323541,0,Specially organised and rung in memory of John Meads by family and friends
1323409,0,Specially arranged and rung to celebrate the 100th birthday of Ron Applewhite (26th Jan) & also to mark the 70th anniversary of Ron’s first peal (11th Feb 1950).
1323409,1,CONGRATULATIONS RON & MANY HAPPY RETURNS!!!
1323409,2,"Ron has close connections to this tower. He was a member of the well known and highly respected Branston Surprise Minor Peal Band during the 1950’s & 60’s ringing many peals of multi Minor here on these bells and at various other 6 bells towers all over the county. Ron's first peal was here at Branston on 11th Feb 1950 & his last peal was also here on 25th Mar 1967, with Branston being his leading peal tower with a total of 22 peals."
1323409,3,Today’s peal replicates Ron’s first peal using the same 6 methods he rang here 70 years ago in a few weeks time.
1323409,4,"Ron was made an Honorary Life member of the Lincoln Diocesan Guild in 2004 for his services to bell ringing in the Diocese, something he was very proud of."
1323409,5,"Ron did a lot for the conductor in his early years, transporting him around towers & practices, helping and encouraging him with his method ringing. He also rang in the conductor’s first quarter peal which has here at Branston in 1999."
1323367,0,"Rung for the 750th Anniversary Year of St Mary's Church, Rickmansworth"
1323390,0,First treble to minor - 1
1323390,1,Rung as a 12th birthday compliment to Toby Coulthard - Carlisle Cathedral Ringer.
1323390,2,Rung on the simulator.
1323382,0,First quarter peal - 6
1323382,1,Rung in memory of Gordon Norman.
1323382,2,Rung on the simulator.
1323381,0,First quarter inside - 2
1323381,1,Rung on the simulator
1323391,0,1st Bristol as conductor.
1323391,1,1st Bristol for over 40 years 5 & 6.
