perf_id,position,footnote
1979883,0,Rung in memory of Eric Naylor who died on 27/01/2017
1979883,1,6 - First in method
1209358,0,1st Quarter peal on 10 bells - 3
1209358,1,Rung as part of The St. Martins Guild 10 bell quarter peal programme
1160397,0,First in method - 5 & as (C)
1160397,1,"Dedicated to the memory of Edith Pierce and Norman Johnson, both long-standing D&N members recently passed to rest."
1160359,0,The first peal in the method on handbells.
1160507,0,First of Surprise: 2.
1160507,1,With best wishes from the Pip'n'Jay band to David James on his return to Malvern.
1160507,2,Jack Aylward arranged this quarter peal and would like to be associated with it.
1160348,0,1st Quarter as Conductor.
1160348,1,"Rung for the Baptism of Edward John Sayles on 29th January 2017, son of Chris (3) and grandson of Denise (1) Sayles."
1160336,0,In thanksgiving for the life of Eric Naylor
1160327,0,In memory of Mrs Joyce Wittrick.
1160350,0,First peal in the method.
1160350,1,Fetter Lane S Royal: -5-4-56-36-34-5-4-45-34-5 f
1160335,0,First blows in method by all
1160462,0,Rung for the Christingle Service. 2nd quarter for the treble ringer; first inside for more than 10 years for the ringer of the 4.
1160347,0,Get well compliment to Kathleen Tebble.
1160370,0,75th in the tower - 10
1160370,1,Specially arranged and rung as a birthday compliment to Richard Newman
1715438,0,First quarter in method
1715438,1,Calf of Man (Low) Lighthouse Surprise Minor
1715438,2,x34x1456x56x36.14x34.16-16
1160358,0,First of minor & 10th quarter - 3
1160358,1,66th Birthday celebration for conductor
1160324,0,First treble bob in hand: 1–2 and 3–4.
1160324,1,To welcome Dr Andy Dunn back to Oxford.
1160312,0,With best wishes to Bernard Groves for a speedy recovery.
1934039,0,2: First Oxford TB.
1934039,1,In celebration of the forthcoming Sapphire Jubilee of H.M. The Queen.
1934039,2,Also to commemorate the completion of 25 years ringing for the conductor (the 7th ringer taught him to ring).
1934039,3,"Birthday compliments to D. Paul Smith (26/1) [Master ASCY 1995-96], Miss Eloise V.O. Scott (7 on 29/1) and Miss Abigail M. Buck (16 on 2/2) [Burmarsh Tower Capt 2011-12]."
1934039,4,"At practice following this quarter, Grandsire & Stedman Cators, Stedman Triples and Rounds & Called Changes on the ten were rung. Best thanks to the Tower Captain for the use of the bells."
1934039,5,"According to records, first performance of Oxford TB Major on the bells since 1953 (and the one before that was 1810!)"
1160383,0,First Quarter on Treble for Nathan Gould
1160451,0,Rung in memory of Donald J Beach of Greasley former Chairman of the Guild.
1160448,0,First in method: 2 & 6.
1160779,0,Composition believed to have been rung for first time.
1160356,0,Circled tower 10 times  - 2
1160343,0,1st in m on an inside pair: 3-4.
1160342,0,Most methods on an inside pair: 5-6.
1160341,0,Completes the Surprise Major alphabet - 4.
1160369,0,"Rung in memory of Lance Corporal Henry Benjamin William Whittington, Hampshire Regiment 2nd Battalion, service number 29584, born 1897, died 01/02/1917 age 19. A ringer at Holy Trinity, Gosport. Commemorated at A.I.F. Burial Ground, Flers, France."
1160306,0,"Rung to welcome our new rector The Rev Andrew Schmidt and his family to St Jude's, Randwick."
1160304,0,"Rung, prior to his funeral, in thanksgiving for the life of Terry Atkins, husband of Val and good friend of the St Margaret's Guild."
1160349,0,"Rung, prior to his funeral, in thanksgiving for the life of Terry Atkins, husband of Val and good friend of ringers"
1160319,0,First peal in method: Zechariah Delight Major 34-34.18-12-18-14-38.56-56.78 le 12 15738264 fch BD/d
1160319,1,"Dedicated to the memory of Evelyn (Molly) Fellows, aged 99, mother to Michael and Martin, on the day for her funeral."
1160471,0,For the Opening Eucharist of the VTS spring semester.
1160334,0,"To celebrate the Confirmation in this church, by Bishop Libby Lane, of Bosley young ringer Tom Gilman and others. £3"
1160375,0,"Rung to welcome Edith Olivia Rose Dorrington, granddaughter of Bryony and Richard.  Also to commemorate the anniversary of the Battle of Braddock Down in 1643"
1160232,0,Rung in memory of Margaret Pratt of Bulkington.
1160308,0,First peal in the method.
1160308,1,Ware:
1160308,2,e-38-1456-1256-16-34-18.36.12-18
1657086,0,"In memoriam of Gill Flynn, a fellow ringer and Tower Captain at Dewsbury Minster for over 20 years."
