perf_id,position,footnote
1079519,0,Best wishes from the band to Geoff and Audrey Hardwick.
1125762,0,With the band's very best wishes to Jan for her forthcoming birthday
280536,0,"Rung in celebration to Arthur Robbins aged 90, a bell ringer of this tower and whose funeral took place today. Also *1st Triples as conductor."
1097371,0,Rung by those who turned up for Practice.
383010,0,"Rung to celebrate the life of Leslie B J Clark, long-time Tower Captain at Landulph, on the day of his funeral. RIP."
274117,0,First in method 7.
1980130,0,Circled tower for 3rd time: 3. In memory of Marion Booth.
431791,0,first peal on the bells
274065,0,First in the method by all except 8.
276596,0,Quarter dedicated to Watchet Harbour Community Bookshop who donated half the cost of the tower's new bell ropes. Also to baby Sam who incredibly survived being blown into Watchet Harbour and to all those who helped to save him.
1141556,0,1st quarter peal in the method.
1141556,1,"The band, believing the method not to have been rung before, would like to name it St Bartholomew Treble Bob Minor."
1141556,2,"Wishing Paul & Lis Treby a fond farewell, on their forthcoming move to Chester."
1141556,3,A 60th Birthday compliment to Jenny Norris.
1141556,4,1st blows in method: 3
431790,0,"With the band's best wishes to David, stranded on the west shores of the Soar."
1147242,0,"On the Feast Day of St Gildas the Wise (c 498-c 570), historian and author of 'De Excidio Britanniae' in which he described pagan attacks on his country."
1105547,0,"Specially arranged in memory of Dennis Leslie, tower captain, at his own tower."
275246,0,A compliment to Renee Page-Jones (Tower Captain) for her 75th birthday (31.1.2013). Rung by friends from five different local towers.
351401,0,Birthday compliments to Betty and Colette - both 21 again for the umpteenth time.
1118942,0,First in the method by all the band.
1118942,1,A 65th Birthday compliment to Janet Wilson.
274050,0,In memory of George Orchard a ringer at Melksham & Seend rang half muffled on the evening of his funeral by ringers from both towers
1082288,0,"Rung half muffled to mark the anniversary of the death of Lord Frederick John Robinson, first Earl of Ripon, who died on 28th January 1859."
1082288,1,"Lord Ripon lived at Nocton Hall and owned the Nocton Estate. All Saints Church was built as a memorial to Lord Ripon and the peal of six bells were given by his wife Lady Sarah Albinia Louisa, Countess of Ripon in 1865 in memory of him."
1082288,2,First quarter in the method: 2.
1047799,0,350th Peal - 3
1047799,1,Circled the tower - 7
274039,0,"To commemorate the 400th anniversary of the death of Sir Thomas Bodley, founder of the Bodleian Library, who is interred in the College chapel. The ringers of 1,2,4,6 are librarians."
274039,1,With get well wishes to Helen Matthews who was due to ring.
274039,2,75th quarter: 5.
1583215,0,Most methods inside: 2. Rung on Australia Day Public Holiday.
383004,0,"Rung in celebration of the life of Mary Wylie Burton, Nan of the Conductor, who sadly passed away on 13th January. Also a Ruby Wedding compliment to Annette and Alan Jacobs and a birthday compliment to Revd. Judy Henning, Vicar of St. Margaret's Rainham."
383004,1,"1250th Quarter Peal together - 2,5."
383004,2,"First Quarter Peal of Grandsire Triples as Conductor, and first Quarter Peal as Conductor for over 16 years."
1584265,0,"Rung for Australia Day and in celebration of the life of the Rev Dr Stuart Barton Babbage, Dean of both Sydney and Melbourne Cathedrals and a regular worshipper at St Judes."
1051890,0,"First Rutland Royal 4,5,6,7,8,"
1140920,0,First quarter peal of Surprise Maximus: 8
1140920,1,"Rung as a get well compliment to Bill Deason, who was to have rung in this quarter peal"
1584833,0,Rung on the Australia Day public holiday as part of the annual Sydney Ringing School
1584833,1,First in Method (5)
1816448,0,"Welcome back to Ray, first quarter since triple by-pass heart operation last October. Get well wishes to Alan Edwards who was unable to ring at the last minute."
1047553,0,Specially arranged as a 90th birthday compliment this day to local tower captain Tony Clark by long time ringing friends.
1099895,0,Rung prior to Evening Service.
1818963,0,Rung for morning service.
274853,0,First quarter peal: 1
1092119,0,"Rung to celebrate the life of Alan Binnington, organist at St Mary's who died on 12/01/2013."
1117928,0,"60th Birthday compliment to Ann Cossavella (local ringer), and welcome to Roseanna Grace Birch born 12.12.12 Ann's second grandchild."
1117928,1,First Grandsire Doubles - 4
1142651,0,First quarter of Grandsire Major for all except conductor.
1142651,1,Rung as a 15th Birthday Compliment to Julian Howes.
1125360,0,Rung in memoriam for all those who were killed by the Nazis in concentration camps.
1122144,0,First of caters inside : 5.
1083654,0,Rung on UBSCR dinner weekend.
382997,0,"For the Feast Day of John Chrysostom ""Golden Mouth"", Bishop and Doctor."
1142650,0,"1st. peal, at 1st. attempt - 1."
1142650,1,Rung for Patronal festival.
273827,0,"First surprise - 2,4."
273827,1,50th QP and circled the tower - 1.
1052941,0,First quarter peal for a Grange Road Colleges band
1052941,1,First quarter peal for Guild - Treble & 7th
1052941,2,First Surprise Major - Treble
1052941,3,500th as conductor - 6th
1075583,0,Rung prior to Evensong.
1075583,1,First quarter peal of Grandsire Cinques: 2
1124340,0,1st of London Royal - 2 & 4.
404783,0,First of spliced: 5
431787,0,For the Australia Day weekend.
431787,1,Using one of Roger's compositions seemed appropriate as he helped get these bells ringing again after long silence.
273932,0,After morning Mass
1135324,0,13th Birthday compliment to Cerys Bracher. most methods to Quarter 2.
273999,0,"Croome once again hit by flooding, so not as many visitors as normal to entertain today."
1095971,0,"1st quarter on the bells since rehanging by John Taylor & Co, for Evensong on the patronal festival."
1095971,1,Rung by a Sunday Service band and helpers.
1676204,0,For Evensong.
1045840,0,100th. Quarter Peal 2.
1443077,0,For Evensong. 1st Q of Minor for 1.
273917,0,Rung for Evensong.
1129994,0,1st Surprise Minor inside 2.
1129994,1,Birthday compliments to Maureen Havil
1898546,0,For Evening Service
273968,0,Rung in memory of Roger Bailey.
273968,1,1st in method as conductor
273968,2,1st in method 4
431785,0,Rung prior to Choral Evensong.
1055976,0,1st Yorkshire - 2 & 3. Rung for Evensong.
1134762,0,First quarter in the method by all the band
1063819,0,Rung for Evensong and to celebrate the birth of Florence Elizabeth Hardy on Sat. 19th January 2013.
1063819,1,First quarter-peal of Grandsire: 4
1070090,0,For Evensong.
1070090,1,First quarter-peal of Surprise Major: 4.
1090299,0,Rung for evening Holy Communion.
1083655,0,The first peal in the method.
1083655,1,b -3-4-2-1-4-1-256.7
1083655,2,"A birthday compliment to Janette Roberts, wife of the Tower Foreman."
273761,0,Rung in memory of Roger Bailey.
273761,1,First peal in the method (devised by Roger).
273761,2,Kensal Green Surprise Major:
273761,3,b x5x4x25x36x4x5x4x1
1104084,0,Rung as a St Andrew's Centre sponsored quarter peal at the request of Denis Payne to celebrate the birthday on 25th January of his wife Jan Payne.
1109105,0,Rung after Morning Service.
1143430,0,"To mark the passing of Anthony Moyes, , 13 July 1920 - 19 January 2013 father of Martin Moyes"
1143430,1,.
1710006,0,"First in method - 3, 4, 6."
274057,0,For the Babtism of Daniel Benjamin Counsell son of the (2) Grandson of (3)
1102752,0,For Evensong. A 90th birthday compliment to Leslie Pritchett. Also rung to mark the end of Week of Prayer for Christian Unity
1135318,0,For Evensong
1146629,0,Rung following Morning Service.
1084239,0,First Stedman: 1
1084239,1,For Evensong.
431886,0,"Rung as a thanksgiving for the life of Jill E Reeves, for many years a member of the Kimpton band and always a loyal friend of all the ringers.  Alan Smith, who is travelling in Europe at the moment, wishes to be associated with this quarter."
382998,0,Rung for Sunday Service & Birthday Compliment to Judith Weston (wife of 1) on 26th Jan.
1047198,0,Rung for evening service.
1138293,0,"Ist Blows in method 2, 3, 5."
1148679,0,Isaac Reeves first Triples on an inside bell
1148679,1,For evening service
1062069,0,"First away from cover:1, First inside 2 and 3"
1058348,0,For morning service
1058348,1,and a 16th birthday compliment to Jess Harrold
1061415,0,"In memory of Roger Bailey, who encouraged the conductor to take up handbell ringing whilst a student at Imperial College."
1061415,1,Woodbine was the method Roger used to help generations of students make the transition from ringing Treble Bob methods to Surprise.
1061415,2,First in the method for all the band except 1-2
1072327,0,"Dedicated to all the good things in the shortened life of Grant Paterson, a caring and generous young man, whose funeral is this week."
1895387,0,First blows in method for all
1895387,1,Circled tower: 8
1895386,0,First on 10 as conductor
431788,0,For evensnog and to wish Ellie 'Bon Voyage' for her gap year travels.
431788,1,First treble bob: 1
1151284,0,"First on ten and first in method, 9-10"
1096995,0,In memory of Roger Bailey
277617,0,For the Sundays @ Six service.
1060630,0,1 -- First Royal
1131330,0,For evensong.
1146958,0,Rung as a 75th Birthday Compliment to Graham Talbot.
1056086,0,Rang to mark Holocaust Memorial Day
285876,0,Rung in thanksgiving for the life of Tony Baines.
1034697,0,Rung for evensong
1034697,1,First in method: 3
1151850,0,"1st in method: 1,5,6,7,8,9"
1151850,1,1st in method as conductor.
1151850,2,Rung for Mr Collins on his 200th birthday. With thanks to Martyn for stepping in at short notice after Ed's car broke down.
1096273,0,Rung for evensong and as a thankyou to St Peters for accommodating St Marys ringers while services were suspended at St Marys.
1595733,0,1st QP of Minor & Doubles - 2 & 4
1595733,1,"Rung in memoriam for all those who died in concentration camps, in the hope that nobody ever suffers from such atrocities ever again."
431782,0,200th as conductor.  Rung immediately following Rev Barry Grimster's final service after 23 years at Old Woking
431868,0,For Evensong
1078472,0,For evensong. To mark the centenary of enfranchisement of women in Norway
1583442,0,First Major inside: 2. For Evensong; also to congratulate Sally Simmonds on being awarded the Ambulance Service Medal in the Australia Day Honours List.
1093728,0,"First Bristol: 2, 3, 4, 6, and as conductor."
1093728,1,"Fourth peal of surprise major, but first in any of the so-called 'standard eight': 3."
1093728,2,"Best wishes to Agnes Schulte, grandmother of the conductor, on having celebrated her 100th birthday on January 21."
1065573,0,"First QP: 1 (Age 13),6"
1065573,1,First QP as (C): 4 (Age 13)
1065573,2,For Evensong and Jo Peck's 14th Birthday.
1065573,3,With thanks to John Steere for his many years service as Chairman and Secretaryto the South West Branch of the Guild of Devonshire Ringers.
1045110,0,For Evensong
1108148,0,"First in method 3,5."
1108148,1,Rung for Confirmation Service and in memory of Roger Bailey.
1064534,0,1st in method 4.
1064534,1,Rung in thanksgiving for the life of Tony Baines. who helped considerably with the rehanging of these bells.
1443185,0,First as cover: 6
1443185,1,Rung before Evensong and in memory of Humphrey Densham.
1148037,0,For evensong and a birthday complement for #2
1071156,0,Evensong
1095475,0,Rung for Holocaust Memorial Day
1595525,0,For Evensong.
1595525,1,4 of 60 - 2.
1138645,0,First quarter peal in the principle: 4
1138645,1,Rung for Evensong on the light ten
1095965,0,For evensong.
1046497,0,First of Cambridge Surprise Minor inside - 2
1048711,0,Rung in memory of Sue Anderson
273938,0,Rung in thanksgiving for the life of Lilian Rose King (nee Chipperfield) (30th July 1926-4th January 2013) mother of the ringer of 7-8
273935,0,For Evensong
273935,1,"Remembering Peggy Crispin, a faithful member of the congregation for nearly 50 years, died 17.01.2013."
1875784,0,"For Evensong and in memory of Charlie Bell, former Ringing Master of this tower, who died 26 January 2013, aged 96 years."
1811380,0,For Evening Service
1811380,1,1st in method for all
274075,0,Rung for Sylvia Hyams in recognition of her MBE for services to charity and the local community
1084000,0,"Rung half-muffled in memory of Eddy Adams, former Tower Captain of this tower (1968-79)."
1074402,0,"Rung to welcome home Peter and James Marshall, grandsons of 7 and 8"
1074402,1,First Grandsire Triples: 2
1045838,0,Rung as a thank you to Richard Turner for 45 years as Tower Captain at Thurstaston. All members of the band were taught to ring by Richard.
1045838,1,BD
1079254,0,First quarter on the bells following refurbishment.
1079254,1,For Sunday Service.
1111189,0,Rung half-muffled for Haringey council's annual Holocaust memorial event at Bruce Castle Museum
1064893,0,"By ULSCR members, in fond memory of Roger Bailey, who encouraged and assisted all of the band with their handbell ringing."
1022118,0,For Evening Service
1079518,0,"Rung before the last service taken by Canon Paul Denyer, vicar of Warmley, Siston and Bitton, before his retirment. By a local benefice band."
1585965,0,Rung for the Patronal Festival.
1443643,0,Before Evensong
435446,0,Rung in memory of Roger Bailey.
273809,0,Treble:  First Quarter on his Home Tower bells.
273809,1,Service Quarter Peal prior to Holy Communion.
274570,0,"First inside, 2"
1111791,0,75th in Oxfordshire as cond - 10
1111791,1,"Rung to mark the conductor's 20,000th day on the planet"
1148890,0,Birthday compliments to Marion Robinson and to Philip Bailey.
1150335,0,For UBSCR Dinner day.
1150335,1,1800 Peal - 7
1150335,2,1400 peal- 5
1148478,0,Rung in fond memory of Roger Bailey (1946 - 2013)
1087790,0,Rung on Society Dinner Day.
1693795,0,On UBSCR Dinner Day
1053712,0,On UBSCR Dinner Day. For the birthday of Chris Darvill
1115869,0,"Specially arranged as a Diamond Wedding anniversary compliment to Sir Stanley and Lady Odell of Hill Farm, Campton. Stan was Patron of Campton Bells Appeal 2004-7. He and Grace are great supporters of ringing in Campton and donated the third of the new ring."
1150541,0,"Rung by a local band and two guests to celebrate the 80th birthday of Brian Harris, whose tower this is. Brian has now rung the extent of Plain Bob on every feasible number of bells. First peal: 1, 8."
1128320,0,By members of the Gloucester & Bristol Association Management Committee after the meeting to approve the annual accounts
1585732,0,For Australia Day and in memory of Roger Bailey
1150015,0,First in method for 3.
1150015,1,To celebrate the life of Tony Baines.
1148831,0,To celebrate the life of Tony Baines.
1151282,0,To celebrate the life of Tony Baines.
1149730,0,To celebrate the life of Tony Baines.
1151280,0,Birthday compliment to Marion Robinson and Philip Bailey.
1151272,0,"1st of 4 Spliced 6, 25th together 1&4 and 4&8."
1148531,0,"Rung in memory of John Raymond (Ray) Chester, father of Mike, who died on January 25th 2013, aged 83."
273591,0,In celebration of the conductor entering his 8th decade
273591,1,25th Grandsire Triples as conductor
1117015,0,Rung as a birthday compliment to Mary Beresford
1150197,0,First as conductor.
1150197,1,Rung in the year of the 240th anniversary of the first peal on these bells.
1989751,0,Remembering Roger Bailey.
1055724,0,First blows in method: 2
1055724,1,First in method: 6
1055724,2,Rung for Australia Day
1149401,0,"Specially arranged for the 6th birthday of Richard Munnings' son, Mason."
1149944,0,1st qtr Inside Esme White(age 12)
1150401,0,1st on 8 bells Molly Cooper(age 13)
273696,0,For Australia Day. First in method for all the band.
1149786,0,Birthday compliments to Marion and Philip.
1150045,0,For the town's monthly Farmers' Market.
1150045,1,"Also remembering Roger Bailey, distinguished ringer, Richard Jackson, former worshipper and server at this Church, whose funeral will take place on Monday, Michael Best, and Peter Dennis who would have been 34 today."
1047379,0,Rung to welcome Nicholas Williams as vicar
1148423,0,1750th Q. (5)
1116288,0,Rung in thanksgiving for the life of Roger Bailey.
1116288,1,First peal: 1 & 6 (both aged 16)
1116288,2,First peal of Doubles: 2
1116288,3,First peal for 36 years: 3
273676,0,100th peal: 9
273676,1,300th peal: 10
273676,2,50th together: 2 & 3
273676,3,Remembering Jill Reeves and Roger Bailey.
1107195,0,"The first 12 bell peal on the newly augmented Foundry ring. Rung by Directors and employees of John Taylor & Co, assisted by friends of the Company who helped with the installation project. First peal on 12: 12."
1895390,0,"Birthday compliment to Liz Matthews, sister of 5"
273634,0,First in hand: 1-2
273634,1,Prior to the branch AGM
1063571,0,In fond memory of Roger Bailey and in thanks for his support of CEA ringing.
1150334,0,First quarter peal: 6.
1150334,1,Rung as a part of Tom's Bronze Duke of Edinburgh Award. With thanks to everyone for helping in the seasonal weather!
1150334,2,(Century quarter peal: 2.)
1151281,0,Birthday compliment to Marion and Philip.
1908692,0,Rung on St Peter Mancroft Guild Dinner day and to mark the 80th birthday of John Mudd.
1138292,0,First in method: 6
1149917,0,4 - First Surprise
1149917,1,Dedicated to the memory of Roger Bailey
1150116,0,First Plain Bob Triples inside: 6.
1150116,1,Rung in memory of Tony Baines who restored these bells in 1997.
1585522,0,Rung to celebrate 'Australia Day' and as a 14th Birthday compliment to Gabby.
1096660,0,"First Bristol: 2, 3, 4, 5."
1096660,1,In memory of Roger Bailey.
1053831,0,"First Stedman Triples: 2, 3."
1051550,0,First away from cover: 1
1137349,0,"Rung by the local band to celebrate the 93rd Birthday today of our dear friend Ron Applewhite who is a long standing and loyal member of this local band. Sadly Ron was unable to ring in this quarter but he has rung quarters here for the three previous years on his 90th, 91st & 92nd birthdays."
1137349,1,"Circled the tower (and as conductor) 15 times to quarter peals, since the bells were rehung and augmented in Sept 2004: 4."
1137349,2,(No. 194)
1140559,0,A birthday compliment to Andrea
1151287,0,Rung in thanksgiving for the life of Tony Baines. He will be sadly missed.
273703,0,Rung in memory of Roger Bailey.
273703,1,100th for the Association: 3
273596,0,First of surprise: 2.
1140558,0,A birthday compliment to the conductor
371539,0,Rung for Society Peal Weekend.
1148115,0,"Rung in celebration of the life of Eddy Adams of Upwey, Dorset."
1462358,0,On UBSCR Dinner Day
1075220,0,200th quarter - 2.
1075220,1,First in the method - 2 and 4.
1075220,2,First on a simulator - 1 and 8.
1075220,3,Birthday compliment to Michael Leese and Bernard Ongley.
1150370,0,"Rung to celebrate the life of Frank Gath, grandfather of 4 whose funeral took place yesterday."
1585638,0,Rung as part of The Annual Sydney Ringing School with thanks for the tireless work of the organisers and ringing assistants particularly those from interstate and overseas
1583359,0,Rung on Australia Day as part of The Annual Sydney Ringing School
1583359,1,First Quarter Peal for Chris Bacon visiting from Bathurst
1148754,0,"First Peal on the Bells,"
1148754,1,"Jointly conducted by all the band,"
1148754,2,Remembering Roger Bailey.
1147997,0,"One of two peals rung on this day to celebrate the 80th birthday of Brian Harris of Chester, by some of his ringing friends."
1149458,0,"Believed to be the first round block in the method, Tottenham Bob Minor: x16x36x36x16x16x le 12 (34625), first described in Benjamin Annable's note book as Enfield Double or Tottenham Bob."
1140919,0,"1st in method 2,3,4 and 6."
1140919,1,Rung for Society Peal Weekend.
273925,0,"Specially organised at St Margaret's Church (when the tower for a twelve-bell quarter became unavailable at short notice) to celebrate the life of Roger Bailey, a member of the lunchtime service band, who died on 22nd January 2013.  David Jackson, Sarah Taylor and Philip Vracas (members of the original twelve-bell band) would like to be associated with this quarter peal."
1098753,0,1st quarter - 4
277895,0,"Rung to mark the retirement of Revd Barry Grimster, Rector of Old Woking, after 23 years in the parish."
277895,1,"First peal in the method: 2,3,4,5."
1893396,0,Rung on Tower Dinner Day. 1st Surprise inside 3.
1122149,0,The band's compliments to Muriel Page for the 59th anniversary (yesterday) of her first peal.
1101046,0,In memory of Roger Bailey.
1101046,1,Circled the Tower to peals - 9.
1066501,0,In memory of Roger Bailey.
431774,0,First treble bob major (1)
1127799,0,Rung with the bands best wishes to celebrate the 93rd Birthday tomorrow of our dear friend Ron Applewhite who is a long standing member of the local band. Ron listen to this quarter peal from his home.
275768,0,To mark the start of The Society's annual dinner weekend.
1150450,0,In anticipation of the UBSCR dinner.
1150450,1,First peal in the method.
1150450,2,Exmoor Beast Surprise Major:
1150450,3,l 36-56.4.5-2.36.2-2.5-6-5
1150463,0,2 - first in method
1585597,0,For Australia Day
1583808,0,"First Quarter in the method. Mount Groper Delight: 34X34.14X12X16X12.34.1256.1234X12.16X12X14.34X34.12. Mount Groper is in WA at 118 degrees 53' 29"" E, 34 degrees 29' 23"" S. Birthday compliment to Gabby Ling, daughter of the treble ringer."
1113261,0,1st quarter peal - 1
1113261,1,1st quarter peal as covering bell -6
1113261,2,Rung on the front six and For Burns Super Festivities.
1676058,0,"Rung with compliments to Graham Patient, founder member of the Sound Bites co-operative, with best wishes as he moves on to new projects."
1052512,0,First QP outside the USA: 1
1052512,1,Stephen's 25th birthday treat
1101847,0,Rung by a band of current undergraduate students before the BUSCR AGM.
1101847,1,"First quarter peal: 6,8"
1043767,0,First in method: 3
1147932,0,To celebrate the Feast of St Paul and to mark the consecration of the new Bishop of Beverley.
1147932,1,Also in memoriam Roger Bailey.
1147932,2,Thanks be to God.
273488,0,In memory of Roger Bailey.
1151295,0,"Rung for the birth of Elizabeth Florence Bramley, first grandchild for Ruth and Robert Bramley, ringers at Haddenham."
1050946,0,1st in the method: 3
1050946,1,Remembering Roger Bailey
273493,0,50th peal and first as conductor: 7-8
273493,1,In memory of Roger Bailey
1085026,0,Rung as a birthday compliment to Joanne Waller.
1121706,0,"In thanksgiving for the lives of ringing friends Roger Bailey, Eddy Adams and Chris Beesley."
273495,0,"For Patronal Festival Mass which also re-dedicated the bells, organ and blessed the new Parish Office. Celebrant The Bishop of Pontefract the Rt Rev Tony Robinson"
1132569,0,1st of treble bob major - 1.
1583718,0,"First on ten: 1. A 70th birthday (on Monday) compliment to Ilona Day, sister-in-law of Mary and a birthday compliment to Gabby, 14 tomorrow."
1082799,0,The First Peal on the Bells.
1135795,0,First peal of Major 1.
1135795,1,In memory of Roger Bailey.
404766,0,"Rung prior to a Service of  Thanksgiving for the life of Jill Reeves, mother of the conductor and partner of 1."
1127014,0,First of Minor - 1
1127014,1,First of Minor inside - 4
1127014,2,"Rung as a Retirement Complement to Canon Paul Denyer, Vicar of Warmley, Siston and Bitton."
1530938,0,"In memory of Roger Bailey, founding member of the Society."
1530938,1,200th peal on handbells: 1-2.
1530938,2,First peal in the method.
1530938,3,Rupert Bear D Major: -34-4-2-3-4-1-56-7 j
1151296,0,1st blows in m 2.
274277,0,Congratulations to Zara on successfully ringing her first quarter peal.
1584957,0,First of Surprise in hand: 7-8.
1607565,0,Rung to celebrate the life of Tony Baines and his contribution to bells and bellringing in Norfolk and Suffolk.
1119618,0,250th peal - 5.
1126578,0,Method thought to be rung for the first time.
1126578,1,Blackaton Brook Surprise Minor 36 - 56. 14. 12 - 56. 36. 12 - 34. 56 le 12 35264
1102448,0,"Remembering Roger Bailey, who died on Tuesday 22nd January."
1102448,1,A Fish Court quarter.
415463,0,Rung Half Muffled following the Funeral of Joy Boorman a former Tower Captain of Wateringbury. First Family Quarter
278729,0,1st Quarter Peal: 6. 1st inside: 2. Rung to mark Burns Night.
1085636,0,"660 St Simon's, 600 St Martin's."
1085636,1,First St Simon's and first St Martin's: 4.
1046688,0,Birthday compliment to Helen (the length is significant!).
1046688,1,150th peal on the bells.
1046688,2,First peal in the method.
1046688,3,Black Dragon Surprise Major:
