perf_id,position,footnote
1269657,0,To celebrate the birth of Ella Rose Rossiter. First grandchild for Stephen Rossiter and June Saint.
1270345,0,For the 90th birthday of 2.
1269709,0,In memory of Andy Carr of Birmingham who died on Monday 28/01/2019.
1269711,0,A Birthday Compliment to Richard Kennard & John Walder
1269691,0,"Last peal as SCY master (certainly for the foreseeable future), 5."
1269593,0,First in the method for all.
1269593,1,10th Surprise Major alphabet as conductor.
1269593,2,Birthday compliment to Janet Wilson
1269612,0,"First in method 2, 3, 4 & 5."
1270317,0,First quarter (1)
1269736,0,In celebration of the licensing this evening of The Rev Rachel Blanchflower as Priest in Charge of the benefice. The bells were rung before and after the service by local ringers. We welcomed ringing friends from St.Edward's Church in Cambridge where Rachel had been an ordinand.
1269600,0,"To welcome the Rev’d Rachel Blanchflower and her family to the parishes of Great Gransden, Abbotsley, Little Gransdey and Waresley."
1269600,1,Rung on the morning of Rachel’s licensing in Great Gransden Church as Priest in Charge of the benefice.
1315423,0,"Rung by members of the Ladies Guild, Eastern District."
1269662,0,"Rung by members of the Ladies Guild, Eastern District."
1269685,0,"First of Pitman's 8 - 3, 4 and as conductor."
1269684,0,First Grandsire: 4
1269619,0,First surprise as conductor 5.
1269688,0,#3 - First surprise
1284503,0,"Rung with the bells half muffled in memory of the following three Lincoln men who died due to the Great War during January 1919. Specially rung to commemorate the centenary of their deaths, We will remember them."
1284503,1,"FRED HALLAM, Private 241488, ""B"" Company, 2nd/5th Battalion, Lincolnshire Regiment. Died 4th January 1919, aged 21."
1284503,2,"WALTER HOWARD, Private, 6th Battalion, Lincolnshire Regiment. Died 7th January 1919 in Lincoln."
1284503,3,"JOSEPH STOW, Private 43165, 10th Battalion, Lincolnshire Regiment. Killed in action 12th January 1919, aged 31."
1284503,4,"When You Go Home, Tell Them Of Us And Say, For Your Tomorrow, We Gave Our Today."
1284503,5,"Honourable age does not depend on length of days, nor is the number of years a true measure of life."
1284503,6,They are all commemorated on the City War Memorial on the High Street.
1284503,7,The fifty-fourth of the monthly Great War Commemoration Quarters in Lincoln.
1284503,8,(Rung also for the Lincoln Diocesan Guild)
1269669,0,100th Tower bell QP - 1
1269669,1,3000th QP - 5.
1896072,0,First in hand 1-2 & 3-4
1269689,0,On the back 7 on an icy-cold practice night.
1269668,0,First Spliced Surprise Minor - 2 & 3.
1269643,0,"In memory of Joyce Seabrook, ringer at Abbots Langley and Brenda's cousin."
1269919,0,Rung to mark the induction and licensing of Rev. Carol Pharoah as Team Rector of Westhoughton.
1269690,0,1st blows in method - 2 & 3.
1269690,1,100th QP - 3.
1269569,0,First quarter peal as conductor
1269555,0,"Rung in loving memory of Alistair Haynes, 8 years after his death on 22nd January."
1269435,0,Compliments to Colin Armitage on his 80th Birthday (Retired Tower Captain)
1323696,0,6: 250th Quarter Peal and completes Quarter Peals for Standard 8.
1269507,0,1st in method for all.
1269507,1,325th together 4 & 5
1269507,2,"25th together 2,3,4 & 5"
1269590,0,"125th together 2,8 and 9,100th together 1,2,8, and 9,75th together 8,9 and 10"
1269559,0,First in method for all.  500th together: 5 and 6. Completes the Plain Minor alphabet: 3 and 6.
1269436,0,First in method.
1269436,1,Mis Ionawr Delight Minor -36-14.12-12.16-34-56 Lh 16
1269494,0,With best wishes to Pauline Campling for a speedy recovery from hip replacement surgery
1269589,0,The first all-the-work peal of the 42 regular Thirds Place Delight Minor methods.
1270350,0,Remembering Paul & Maureen Bloomfield who are seriously ill.
1269565,0,1st in method: 3
1285033,0,"To mark the selection of Mrs Annabelle Elletson, a St. Peter's Church Warden, as an Ordinand."
1285033,1,1 - First quarter in Minor and first QP after more than 43 years (RW 3346.0492 - 1975)
1269575,0,First peal in the method.
1269575,1,Osiris S Maximus: -5-4.5-7.36-7-5-6-7.6-6.7-6-7 l
1269622,0,"The successful part of a quarter peal rung on the 90th birthday of Betty Cole, ringer of the 2nd"
1269621,0,Dedicated to the memory of the men of Market Drayton who died in the Great War but are not commemorated on the town's War Memorial:
1269621,1,"Albert Blount, Pte, 6th Bn KSLI;"
1269621,2,"Jack Whitfield, Rfmn, 11th Bn Rifle Brigade;"
1269621,3,"William J Tomlinson, Pte, Shropshire Yeomanry attached 1st Bn Cheshire Regt;"
1269621,4,"Arthur S Lewis, LCpl, 55th Field Coy, Royal Engineers;"
1269621,5,"George Collins, Pte, 2nd Bn KSLI."
1323517,0,For the 125th Anniversary of the founding of The National Trust and the 40th anniversary of the acquisition of Canons Ashby House by the Trust. The band included two volunteers at Canons Ashby and four local NT members. The House lies about a mile from this church
1277893,0,"1,300th Quarter peal   (4)."
1269516,0,50th together: David and Lynn
1269516,1,Most tiring bell to a successful quarter peal: everyone
1269516,2,With thanks to the band for concentrating during Tim's scarf striptease.
1269667,0,Circled the tower - 4
1269724,0,Birthday compliments to Chris McArthur.
1269557,0,First in method:- 5
1269554,0,"Rung to wish the Tower Captain of Runcorn, Bill Allman, all the best with his major operation tomorrow."
1269454,0,First quarter on tower bells: 6
1269454,1,First of St Simon's and St Martin's: 4
1269454,2,Celebrating four months of ringing for the 6 on his Erasmus semester.
1269556,0,First peal in the method:
1269556,1,-38-14.56.12-16-12-58.16.78 le12 d
1277894,0,700th Quarter peal together  (2&3).
1843919,0,First Surprise Major-2
1269561,0,Belated Birthday wishes to Sue Haines
1269350,0,"Rung to celebrate the birth of Elija Peter Roberts, Grandson of the 6."
1269350,1,1st in method 2 and 6.
1269426,0,Rung by the Tuesday lunchtime band as an engagement compliment to Ben Meyer and Jemma Mills.  First Cambridge 4.
1269387,0,Best wishes & get well soon to Shona Clark.
1269323,0,Rung for the 98th anniversary of the Society.
1269389,0,6 - First of Bristol
1269299,0,Birthday compliments 5.
1269380,0,A(nother) 30th birthday compliment to Nathan.
1269380,1,"First in method - 2, 3, 4, 7, 8 & as (C)"
1269431,0,Rung as a birthday compliment to Robert Beavis for today.
1269378,0,Birthday  compliment to  Lynda Lee.
1269372,0,Birthday compliment to Dale Winter.
1269347,0,First in the method: 3
1269347,1,Rung for Hampreston Quarter Peal Day
1269347,2,2/3
1269382,0,"A birthday compliment to Chris Scott. 1st in m 4, 5, 6, 7 & 8"
1270252,0,Circled to tower 90 times and 58 times as conductor-treble.
1270249,0,Circled the tower 89 times and 57 times as conductor -treble.
1270248,0,Circled the tower 88 times-treble and 56 times as conductor
1269396,0,First QP of Rutland - 4.
1269327,0,Rung for the Hull Handbells Project.
1269327,1,Rebecca is registered blind.
1269329,0,This peal is dedicated to the memory of Maureen Harrison who was a long standing and loyal member of the Ambleside band for nearly 20 years. Sadly she  died after being hit by a car in Kendal and this peal was rung on the day of her funeral.
1269331,0,"First Plain and Little Spliced 1,2,3"
1269331,1,For Hampreston Quarter Peal Day 1/3
1269434,0,Arranged and rung in memory of Ivan Andrews Vice President SDGR
1269352,0,First of Minor as Conductor
1269352,1,For Hampreston Quarter Peal Day
1269352,2,3/3
1269375,0,"Rung on a snowy practice night as a birthday compliment for 4 (26th Jan), Gareth Howes (3rd Feb) and the Conductor (4th Feb)."
1269377,0,6: a member of 1st Mortimer BP Scouts
1269377,1,In memory of Pete 'Skip' Johnson with thanks for all he gave to the community of Mortimer.
1269325,0,First peal of Spliced Surprise Major:4.
1269325,1,With the band's best wishes to Bill Davidson as he recovers from surgery.
1269379,0,With the band's best wishes to Jan for her forthcoming birthday
1269332,0,First on inside pair: 5-6.
1269364,0,"First in method - 2,4,5"
1269319,0,"A birthday compliment to Dave Jones, of the local band. First Q for 6 since 2001, returning to ringing in response to the 'Ringing Remembers' appeal."
1269320,0,First blows in Berwick and Hexham - 2.
1269429,0,"First in the method - 2,5,6,7 & as conductor"
1269429,1,The 300th peal on the bells
1270468,0,"The first quarter peal rung at Willingale by a band of all Willingale ringers.  This quarter peal was rung in the memory of Jane Jackson, dedicated supporter of the restoration of the Willingale bells."
1269392,0,Completes the Surprise Royal alphabet - 9.
1271371,0,100th together - 2 and 5
1271371,1,600th peal for the Association - 3
1269142,0,"Birthday greetings to Margot, 11 today, granddaughter of treble ringer."
1269140,0,Rung for Holocaust Memorial Day
1269124,0,Rang for Australia Day.
1269147,0,Belated birthday compliment to Rhona whose birthday was earlier this month.
1269147,1,"Also birthday compliment to local ringer & Honorary Life Member of the Guild, Ron Applewhite who celebrated his 99th birthday on Saturday (26th Jan). Ron has rung 12 peals here, this being his second leading peal tower."
1270631,0,"A celebration of the life of Glynis Burbery, rung by friends from Cheriton, Folkestone, Hythe, Lyminge and Saltwood."
1269141,0,With best wishes of all the band to Jill Burtenshaw of Worle. Hoping she makes a swift and complete recovery from her accident on Friday.
1269294,0,1st Treble for Grandsire for 1
1269129,0,"Ring in memory of John Jones of Wragby, Grandfather of 2"
1269129,1,1st conducting triples 7.
1269233,0,1st in Method for all.
1269233,1,Get well wishes to Les Meadows
1269233,2,50th on the bells as conductor.
1269233,3,925th together 1 & 8
1269233,4,125th together 3 & 8
1269233,5,"75th together 1,5,6,7 & 8"
1269233,6,"75th together 2,5,7 & 8"
